% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
1.071	1	6	108	2	3	28	1095	0
1.072	1	5	108	3	5	28	1095	0
1.072	1	6	108	3	3	28	1095	0
1.073	1	5	108	4	5	28	1095	0
1.073	1	6	108	4	3	28	1095	0
1.074	1	5	108	5	5	28	1095	0
1.074	1	6	108	5	3	28	1095	0
1.075	1	4	108	6	4	28	749	0
1.075	1	5	108	6	5	28	749	0
1.075	1	6	108	6	3	28	749	0
1.076	1	4	108	7	4	28	749	0
1.076	1	5	108	7	5	28	749	0
1.076	1	6	108	7	3	28	749	0
1.077	1	4	108	8	4	28	1095	0
1.077	1	5	108	8	5	28	1095	0
1.078	1	5	108	9	5	28	1095	0
1.078	1	6	108	9	3	28	1095	0
1.079	1	5	108	10	5	28	2292	0
1.08	1	5	109	1	5	28	2292	0
1.081	1	5	109	2	5	28	2292	0
1.082	1	5	109	3	5	28	2292	0
1.083	1	5	109	4	5	28	2292	0
1.084	1	5	109	5	5	28	2292	0
1.085	1	6	109	6	3	28	749	0
1.085	1	4	109	6	4	28	749	0
1.085	1	5	109	6	5	28	749	0
1.086	1	6	109	7	3	28	749	0
1.086	1	4	109	7	4	28	749	0
1.086	1	5	109	7	5	28	749	0
1.087	1	6	109	8	3	28	1095	0
1.087	1	4	109	8	4	28	1095	0
1.088	1	6	109	9	3	28	2292	0
1.089	1	6	109	10	3	28	2292	0
1.09	1	6	110	1	3	28	2292	0
1.091	1	6	110	2	3	28	2292	0
1.092	1	6	110	3	3	28	2292	0
1.093	1	6	110	4	3	28	2292	0
1.094	1	6	110	5	3	28	2292	0
1.095	1	4	110	6	4	28	749	0
1.095	1	5	110	6	5	28	749	0
1.095	1	6	110	6	3	28	749	0
1.096	1	4	110	7	4	28	749	0
1.096	1	5	110	7	5	28	749	0
1.096	1	6	110	7	3	28	749	0
1.097	1	4	110	8	4	28	749	0
1.097	1	5	110	8	5	28	749	0
1.097	1	6	110	8	3	28	749	0
1.098	1	5	110	9	5	28	1095	0
1.098	1	6	110	9	3	28	1095	0
1.099	1	5	110	10	5	28	1095	0
1.099	1	6	110	10	3	28	1095	0
1.1	1	5	111	1	5	28	1095	0
1.1	1	6	111	1	3	28	1095	0
1.101	1	5	111	2	5	28	1095	0
1.101	1	6	111	2	3	28	1095	0
1.102	1	5	111	3	5	28	1095	0
1.102	1	6	111	3	3	28	1095	0
1.103	1	5	111	4	5	28	1095	0
1.103	1	6	111	4	3	28	1095	0
1.104	1	5	111	5	5	28	1095	0
1.104	1	6	111	5	3	28	1095	0
1.105	1	4	111	6	4	28	749	0
1.105	1	5	111	6	5	28	749	0
1.105	1	6	111	6	3	28	749	0
1.106	1	4	111	7	4	28	749	0
1.106	1	5	111	7	5	28	749	0
1.106	1	6	111	7	3	28	749	0
1.107	1	4	111	8	4	28	749	0
1.107	1	5	111	8	5	28	749	0
1.107	1	6	111	8	3	28	749	0
1.108	1	5	111	9	5	28	1095	0
1.108	1	6	111	9	3	28	1095	0
1.109	1	5	111	10	5	28	1095	0
1.109	1	6	111	10	3	28	1095	0
1.11	1	5	112	1	5	28	1095	0
1.11	1	6	112	1	3	28	1095	0
1.111	1	5	112	2	5	28	1095	0
1.111	1	6	112	2	3	28	1095	0
1.112	1	5	112	3	5	28	1095	0
1.112	1	6	112	3	3	28	1095	0
1.113	1	5	112	4	5	28	1095	0
1.113	1	6	112	4	3	28	1095	0
1.114	1	5	112	5	5	28	1095	0
1.114	1	6	112	5	3	28	1095	0
1.115	1	4	112	6	4	28	749	0
1.115	1	5	112	6	5	28	749	0
1.115	1	6	112	6	3	28	749	0
1.116	1	4	112	7	4	28	749	0
1.116	1	5	112	7	5	28	749	0
1.116	1	6	112	7	3	28	749	0
1.117	1	4	112	8	4	28	749	0
1.117	1	5	112	8	5	28	749	0
1.117	1	6	112	8	3	28	749	0
1.118	1	5	112	9	5	28	1095	0
1.118	1	6	112	9	3	28	1095	0
1.119	1	5	112	10	5	28	1095	0
1.119	1	6	112	10	3	28	1095	0
1.12	1	5	113	1	5	28	1095	0
1.12	1	6	113	1	3	28	1095	0
1.121	1	5	113	2	5	28	1095	0
1.121	1	6	113	2	3	28	1095	0
1.122	1	5	113	3	5	28	1095	0
1.122	1	6	113	3	3	28	1095	0
1.123	1	5	113	4	5	28	1095	0
1.123	1	6	113	4	3	28	1095	0
1.124	1	5	113	5	5	28	1095	0
1.124	1	6	113	5	3	28	1095	0
1.125	1	4	113	6	4	28	749	0
1.125	1	5	113	6	5	28	749	0
1.125	1	6	113	6	3	28	749	0
1.126	1	4	113	7	4	28	749	0
1.126	1	5	113	7	5	28	749	0
1.126	1	6	113	7	3	28	749	0
1.127	1	4	113	8	4	28	749	0
1.127	1	5	113	8	5	28	749	0
1.127	1	6	113	8	3	28	749	0
1.128	1	6	113	9	3	28	2292	0
1.129	1	6	113	10	3	28	2292	0
1.13	1	6	114	1	3	28	2292	0
1.131	1	6	114	2	3	28	2292	0
1.132	1	6	114	3	3	28	2292	0
1.133	1	6	114	4	3	28	2292	0
1.134	1	6	114	5	3	28	2292	0
1.135	1	4	114	6	4	28	749	0
1.135	1	5	114	6	5	28	749	0
1.135	1	6	114	6	3	28	749	0
1.136	1	4	114	7	4	28	749	0
1.136	1	5	114	7	5	28	749	0
1.136	1	6	114	7	3	28	749	0
1.137	1	4	114	8	4	28	749	0
1.137	1	5	114	8	5	28	749	0
1.137	1	6	114	8	3	28	749	0
1.138	1	5	114	9	5	28	1095	0
1.138	1	6	114	9	3	28	1095	0
1.139	1	5	114	10	5	28	1095	0
1.139	1	6	114	10	3	28	1095	0
1.14	1	5	115	1	5	28	1095	0
1.14	1	6	115	1	3	28	1095	0
1.141	1	5	115	2	5	28	2292	0
1.142	1	6	115	3	3	28	1095	0
1.142	1	5	115	3	5	28	1095	0
1.143	1	6	115	4	3	28	1095	0
1.143	1	5	115	4	5	28	1095	0
1.144	1	6	115	5	3	28	1095	0
1.144	1	5	115	5	5	28	1095	0
1.145	1	6	115	6	3	28	749	0
1.145	1	4	115	6	4	28	749	0
1.145	1	5	115	6	5	28	749	0
1.146	1	6	115	7	3	28	749	0
1.146	1	4	115	7	4	28	749	0
1.146	1	5	115	7	5	28	749	0
1.147	1	6	115	8	3	28	749	0
1.147	1	4	115	8	4	28	749	0
1.147	1	5	115	8	5	28	749	0
1.148	1	5	115	9	5	28	2292	0
1.149	1	6	115	10	3	28	1095	0
1.149	1	5	115	10	5	28	1095	0
1.15	1	6	116	1	3	28	1095	0
1.15	1	5	116	1	5	28	1095	0
1.151	1	6	116	2	3	28	1095	0
1.151	1	5	116	2	5	28	1095	0
1.152	1	6	116	3	3	28	1095	0
1.152	1	5	116	3	5	28	1095	0
1.153	1	6	116	4	3	28	1095	0
1.153	1	5	116	4	5	28	1095	0
1.154	1	6	116	5	3	28	1095	0
1.154	1	5	116	5	5	28	1095	0
1.155	1	6	116	6	3	28	749	0
1.155	1	4	116	6	4	28	749	0
1.155	1	5	116	6	5	28	749	0
1.156	1	6	116	7	3	28	749	0
1.156	1	4	116	7	4	28	749	0
1.156	1	5	116	7	5	28	749	0
1.157	1	6	116	8	3	28	1095	0
1.157	1	4	116	8	4	28	1095	0
1.158	1	6	116	9	3	28	1095	0
1.158	1	5	116	9	5	28	1095	0
1.159	1	6	116	10	3	28	2292	0
1.16	1	6	117	1	3	28	2292	0
1.161	1	6	117	2	3	28	2292	0
1.162	1	6	117	3	3	28	2292	0
1.163	1	6	117	4	3	28	2292	0
1.164	1	6	117	5	3	28	2292	0
1.165	1	4	117	6	4	28	749	0
1.165	1	5	117	6	5	28	749	0
1.165	1	6	117	6	3	28	749	0
1.166	1	4	117	7	4	28	749	0
1.166	1	5	117	7	5	28	749	0
1.166	1	6	117	7	3	28	749	0
1.167	1	4	117	8	4	28	749	0
1.167	1	5	117	8	5	28	749	0
1.167	1	6	117	8	3	28	749	0
1.168	1	5	117	9	5	28	2292	0
1.169	1	5	117	10	5	28	2292	0
1.17	1	6	118	1	3	28	1095	0
1.17	1	5	118	1	5	28	1095	0
1.171	1	6	118	2	3	28	1095	0
1.171	1	5	118	2	5	28	1095	0
1.172	1	5	118	3	5	28	2292	0
1.173	1	6	118	4	3	28	1095	0
1.173	1	5	118	4	5	28	1095	0
1.174	1	6	118	5	3	28	1095	0
1.174	1	5	118	5	5	28	1095	0
1.175	1	6	118	6	3	28	749	0
1.175	1	4	118	6	4	28	749	0
1.175	1	5	118	6	5	28	749	0
1.176	1	6	118	7	3	28	749	0
1.176	1	4	118	7	4	28	749	0
1.176	1	5	118	7	5	28	749	0
1.177	1	6	118	8	3	28	749	0
1.177	1	4	118	8	4	28	749	0
1.177	1	5	118	8	5	28	749	0
1.178	1	6	118	9	3	28	1095	0
1.178	1	5	118	9	5	28	1095	0
1.179	1	6	118	10	3	28	1095	0
1.179	1	5	118	10	5	28	1095	0
1.18	1	6	119	1	3	28	2292	0
1.181	1	6	119	2	3	28	2292	0
1.182	1	6	119	3	3	28	2292	0
1.183	1	6	119	4	3	28	2292	0
1.184	1	6	119	5	3	28	2292	0
1.185	1	4	119	6	4	28	749	0
1.185	1	5	119	6	5	28	749	0
1.185	1	6	119	6	3	28	749	0
1.186	1	4	119	7	4	28	749	0
1.186	1	5	119	7	5	28	749	0
1.186	1	6	119	7	3	28	749	0
1.187	1	4	119	8	4	28	749	0
1.187	1	5	119	8	5	28	749	0
1.187	1	6	119	8	3	28	749	0
1.188	1	5	119	9	5	28	1095	0
1.188	1	6	119	9	3	28	1095	0
1.189	1	5	119	10	5	28	1095	0
1.189	1	6	119	10	3	28	1095	0
1.19	1	5	120	1	5	28	1095	0
1.19	1	6	120	1	3	28	1095	0
1.191	1	5	120	2	5	28	2292	0
1.192	1	5	120	3	5	28	2292	0
1.193	1	5	120	4	5	28	2292	0
1.194	1	5	120	5	5	28	2292	0
1.195	1	4	120	6	4	28	1095	0
1.195	1	5	120	6	5	28	1095	0
1.196	1	6	120	7	3	28	749	0
1.196	1	4	120	7	4	28	749	0
1.196	1	5	120	7	5	28	749	0
1.197	1	5	120	8	5	28	2292	0
1.198	1	5	120	9	5	28	2292	0
1.199	1	6	120	10	3	28	1095	0
1.199	1	5	120	10	5	28	1095	0
1.2	1	6	121	1	3	28	1095	0
1.2	1	5	121	1	5	28	1095	0
1.201	1	6	121	2	3	28	1095	0
1.201	1	5	121	2	5	28	1095	0
1.202	1	6	121	3	3	28	2292	0
1.203	1	6	121	4	3	28	2292	0
1.204	1	6	121	5	3	28	2292	0
1.205	1	4	121	6	4	28	749	0
1.205	1	5	121	6	5	28	749	0
1.205	1	6	121	6	3	28	749	0
1.206	1	4	121	7	4	28	1095	0
1.206	1	6	121	7	3	28	1095	0
1.207	1	6	121	8	3	28	2292	0
1.208	1	6	121	9	3	28	2292	0
1.209	1	6	121	10	3	28	2292	0
1.21	1	5	122	1	5	28	1095	0
1.21	1	6	122	1	3	28	1095	0
1.211	1	5	122	2	5	28	1095	0
1.211	1	6	122	2	3	28	1095	0
1.212	1	5	122	3	5	28	1095	0
1.212	1	6	122	3	3	28	1095	0
1.213	1	5	122	4	5	28	1095	0
1.213	1	6	122	4	3	28	1095	0
1.214	1	5	122	5	5	28	1095	0
1.214	1	6	122	5	3	28	1095	0
1.215	1	4	122	6	4	28	749	0
1.215	1	5	122	6	5	28	749	0
1.215	1	6	122	6	3	28	749	0
1.216	1	4	122	7	4	28	1095	0
1.216	1	5	122	7	5	28	1095	0
1.217	1	5	122	8	5	28	1095	0
1.217	1	6	122	8	3	28	1095	0
1.218	1	5	122	9	5	28	1095	0
1.218	1	6	122	9	3	28	1095	0
1.219	1	5	122	10	5	28	1095	0
1.219	1	6	122	10	3	28	1095	0
1.22	1	5	123	1	5	28	1095	0
1.22	1	6	123	1	3	28	1095	0
1.221	1	5	123	2	5	28	1095	0
1.221	1	6	123	2	3	28	1095	0
1.222	1	5	123	3	5	28	1095	0
1.222	1	6	123	3	3	28	1095	0
1.223	1	5	123	4	5	28	1095	0
1.223	1	6	123	4	3	28	1095	0
1.224	1	5	123	5	5	28	1095	0
1.224	1	6	123	5	3	28	1095	0
1.225	1	4	123	6	4	28	749	0
1.225	1	5	123	6	5	28	749	0
1.225	1	6	123	6	3	28	749	0
1.226	1	4	123	7	4	28	749	0
1.226	1	5	123	7	5	28	749	0
1.226	1	6	123	7	3	28	749	0
1.227	1	4	123	8	4	28	749	0
1.227	1	5	123	8	5	28	749	0
1.227	1	6	123	8	3	28	749	0
1.228	1	5	123	9	5	28	1095	0
1.228	1	6	123	9	3	28	1095	0
1.229	1	5	123	10	5	28	1095	0
1.229	1	6	123	10	3	28	1095	0
1.23	1	6	124	1	3	28	2292	0
1.231	1	6	124	2	3	28	2292	0
1.232	1	6	124	3	3	28	2292	0
1.233	1	6	124	4	3	28	2292	0
1.234	1	6	124	5	3	28	2292	0
1.235	1	4	124	6	4	28	749	0
1.235	1	5	124	6	5	28	749	0
1.235	1	6	124	6	3	28	749	0
1.236	1	4	124	7	4	28	749	0
1.236	1	5	124	7	5	28	749	0
1.236	1	6	124	7	3	28	749	0
1.237	1	4	124	8	4	28	749	0
1.237	1	5	124	8	5	28	749	0
1.237	1	6	124	8	3	28	749	0
1.238	1	5	124	9	5	28	2292	0
1.239	1	5	124	10	5	28	2292	0
1.24	1	5	125	1	5	28	2292	0
1.241	1	6	125	2	3	28	1095	0
1.241	1	5	125	2	5	28	1095	0
1.242	1	6	125	3	3	28	1095	0
1.242	1	5	125	3	5	28	1095	0
1.243	1	6	125	4	3	28	1095	0
1.243	1	5	125	4	5	28	1095	0
1.244	1	6	125	5	3	28	1095	0
1.244	1	5	125	5	5	28	1095	0
1.245	1	6	125	6	3	28	749	0
1.245	1	4	125	6	4	28	749	0
1.245	1	5	125	6	5	28	749	0
1.246	1	6	125	7	3	28	749	0
1.246	1	4	125	7	4	28	749	0
1.246	1	5	125	7	5	28	749	0
1.247	1	6	125	8	3	28	749	0
1.247	1	4	125	8	4	28	749	0
1.247	1	5	125	8	5	28	749	0
1.248	1	6	125	9	3	28	2292	0
1.249	1	6	125	10	3	28	2292	0
1.25	1	5	126	1	5	28	1095	0
1.25	1	6	126	1	3	28	1095	0
1.251	1	6	126	2	3	28	2292	0
1.252	1	6	126	3	3	28	2292	0
1.253	1	6	126	4	3	28	2292	0
1.254	1	6	126	5	3	28	2292	0
1.255	1	4	126	6	4	28	749	0
1.255	1	5	126	6	5	28	749	0
1.255	1	6	126	6	3	28	749	0
1.256	1	4	126	7	4	28	749	0
1.256	1	5	126	7	5	28	749	0
1.256	1	6	126	7	3	28	749	0
1.257	1	4	126	8	4	28	749	0
1.257	1	5	126	8	5	28	749	0
1.257	1	6	126	8	3	28	749	0
1.258	1	5	126	9	5	28	1095	0
1.258	1	6	126	9	3	28	1095	0
1.259	1	5	126	10	5	28	1095	0
1.259	1	6	126	10	3	28	1095	0
1.26	1	5	127	1	5	28	1095	0
1.26	1	6	127	1	3	28	1095	0
1.261	1	5	127	2	5	28	1095	0
1.261	1	6	127	2	3	28	1095	0
1.262	1	5	127	3	5	28	1095	0
1.262	1	6	127	3	3	28	1095	0
1.263	1	5	127	4	5	28	1095	0
1.263	1	6	127	4	3	28	1095	0
1.264	1	5	127	5	5	28	1095	0
1.264	1	6	127	5	3	28	1095	0
1.265	1	4	127	6	4	28	749	0
1.265	1	5	127	6	5	28	749	0
1.265	1	6	127	6	3	28	749	0
1.266	1	4	127	7	4	28	749	0
1.266	1	5	127	7	5	28	749	0
1.266	1	6	127	7	3	28	749	0
1.267	1	4	127	8	4	28	749	0
1.267	1	5	127	8	5	28	749	0
1.267	1	6	127	8	3	28	749	0
1.268	1	5	127	9	5	28	1095	0
1.268	1	6	127	9	3	28	1095	0
1.269	1	5	127	10	5	28	1095	0
1.269	1	6	127	10	3	28	1095	0
1.27	1	5	128	1	5	28	1095	0
1.27	1	6	128	1	3	28	1095	0
1.271	1	5	128	2	5	28	1095	0
1.271	1	6	128	2	3	28	1095	0
1.272	1	5	128	3	5	28	1095	0
1.272	1	6	128	3	3	28	1095	0
1.273	1	5	128	4	5	28	1095	0
1.273	1	6	128	4	3	28	1095	0
1.274	1	5	128	5	5	28	1095	0
1.274	1	6	128	5	3	28	1095	0
1.275	1	4	128	6	4	28	749	0
1.275	1	5	128	6	5	28	749	0
1.275	1	6	128	6	3	28	749	0
1.276	1	4	128	7	4	28	749	0
1.276	1	5	128	7	5	28	749	0
1.276	1	6	128	7	3	28	749	0
1.277	1	4	128	8	4	28	749	0
1.277	1	5	128	8	5	28	749	0
1.277	1	6	128	8	3	28	749	0
1.278	1	5	128	9	5	28	1095	0
1.278	1	6	128	9	3	28	1095	0
1.279	1	6	128	10	3	28	2292	0
1.28	1	5	129	1	5	28	1095	0
1.28	1	6	129	1	3	28	1095	0
1.281	1	6	129	2	3	28	2292	0
1.282	1	6	129	3	3	28	2292	0
1.283	1	6	129	4	3	28	2292	0
1.284	1	6	129	5	3	28	2292	0
1.285	1	4	129	6	4	28	749	0
1.285	1	5	129	6	5	28	749	0
1.285	1	6	129	6	3	28	749	0
1.286	1	4	129	7	4	28	749	0
1.286	1	5	129	7	5	28	749	0
1.286	1	6	129	7	3	28	749	0
1.287	1	4	129	8	4	28	749	0
1.287	1	5	129	8	5	28	749	0
1.287	1	6	129	8	3	28	749	0
1.288	1	5	129	9	5	28	1095	0
1.288	1	6	129	9	3	28	1095	0
1.289	1	5	129	10	5	28	1095	0
1.289	1	6	129	10	3	28	1095	0
1.29	1	5	130	1	5	28	1095	0
1.29	1	6	130	1	3	28	1095	0
1.291	1	5	130	2	5	28	1095	0
1.291	1	6	130	2	3	28	1095	0
1.292	1	5	130	3	5	28	1095	0
1.292	1	6	130	3	3	28	1095	0
1.293	1	5	130	4	5	28	1095	0
1.293	1	6	130	4	3	28	1095	0
1.294	1	5	130	5	5	28	1095	0
1.294	1	6	130	5	3	28	1095	0
1.295	1	4	130	6	4	28	749	0
1.295	1	5	130	6	5	28	749	0
1.295	1	6	130	6	3	28	749	0
1.296	1	4	130	7	4	28	749	0
1.296	1	5	130	7	5	28	749	0
1.296	1	6	130	7	3	28	749	0
1.297	1	4	130	8	4	28	749	0
1.297	1	5	130	8	5	28	749	0
1.297	1	6	130	8	3	28	749	0
1.298	1	5	130	9	5	28	1095	0
1.298	1	6	130	9	3	28	1095	0
1.299	1	5	130	10	5	28	1095	0
1.299	1	6	130	10	3	28	1095	0
1.3	1	5	131	1	5	28	1095	0
1.3	1	6	131	1	3	28	1095	0
1.301	1	5	131	2	5	28	1095	0
1.301	1	6	131	2	3	28	1095	0
1.302	1	5	131	3	5	28	1095	0
1.302	1	6	131	3	3	28	1095	0
1.303	1	5	131	4	5	28	1095	0
1.303	1	6	131	4	3	28	1095	0
1.304	1	5	131	5	5	28	1095	0
1.304	1	6	131	5	3	28	1095	0
1.305	1	4	131	6	4	28	749	0
1.305	1	5	131	6	5	28	749	0
1.305	1	6	131	6	3	28	749	0
1.306	1	4	131	7	4	28	749	0
1.306	1	5	131	7	5	28	749	0
1.306	1	6	131	7	3	28	749	0
1.307	1	4	131	8	4	28	749	0
1.307	1	5	131	8	5	28	749	0
1.307	1	6	131	8	3	28	749	0
1.308	1	5	131	9	5	28	1095	0
1.308	1	6	131	9	3	28	1095	0
1.309	1	6	131	10	3	28	2292	0
1.31	1	6	132	1	3	28	2292	0
1.311	1	6	132	2	3	28	2292	0
1.312	1	6	132	3	3	28	2292	0
1.313	1	6	132	4	3	28	2292	0
1.314	1	6	132	5	3	28	2292	0
1.315	1	4	132	6	4	28	749	0
1.315	1	5	132	6	5	28	749	0
1.315	1	6	132	6	3	28	749	0
1.316	1	4	132	7	4	28	749	0
1.316	1	5	132	7	5	28	749	0
1.316	1	6	132	7	3	28	749	0
1.317	1	4	132	8	4	28	749	0
1.317	1	5	132	8	5	28	749	0
1.317	1	6	132	8	3	28	749	0
1.318	1	5	132	9	5	28	1095	0
1.318	1	6	132	9	3	28	1095	0
1.319	1	5	132	10	5	28	1095	0
1.319	1	6	132	10	3	28	1095	0
1.32	1	5	133	1	5	28	1095	0
1.32	1	6	133	1	3	28	1095	0
1.321	1	5	133	2	5	28	1095	0
1.321	1	6	133	2	3	28	1095	0
1.322	1	5	133	3	5	28	2292	0
1.323	1	5	133	4	5	28	2292	0
1.324	1	6	133	5	3	28	1095	0
1.324	1	5	133	5	5	28	1095	0
1.325	1	6	133	6	3	28	749	0
1.325	1	4	133	6	4	28	749	0
1.325	1	5	133	6	5	28	749	0
1.326	1	6	133	7	3	28	749	0
1.326	1	4	133	7	4	28	749	0
1.326	1	5	133	7	5	28	749	0
1.327	1	6	133	8	3	28	749	0
1.327	1	4	133	8	4	28	749	0
1.327	1	5	133	8	5	28	749	0
1.328	1	6	133	9	3	28	1095	0
1.328	1	5	133	9	5	28	1095	0
1.329	1	6	133	10	3	28	1095	0
1.329	1	5	133	10	5	28	1095	0
1.33	1	6	134	1	3	28	1095	0
1.33	1	5	134	1	5	28	1095	0
1.331	1	6	134	2	3	28	1095	0
1.331	1	5	134	2	5	28	1095	0
1.332	1	6	134	3	3	28	1095	0
1.332	1	5	134	3	5	28	1095	0
1.333	1	6	134	4	3	28	1095	0
1.333	1	5	134	4	5	28	1095	0
1.334	1	6	134	5	3	28	1095	0
1.334	1	5	134	5	5	28	1095	0
1.335	1	6	134	6	3	28	749	0
1.335	1	4	134	6	4	28	749	0
1.335	1	5	134	6	5	28	749	0
1.336	1	6	134	7	3	28	749	0
1.336	1	4	134	7	4	28	749	0
1.336	1	5	134	7	5	28	749	0
1.337	1	6	134	8	3	28	749	0
1.337	1	4	134	8	4	28	749	0
1.337	1	5	134	8	5	28	749	0
1.338	1	6	134	9	3	28	1095	0
1.338	1	5	134	9	5	28	1095	0
1.339	1	6	134	10	3	28	1095	0
1.339	1	5	134	10	5	28	1095	0
1.34	1	6	135	1	3	28	1095	0
1.34	1	5	135	1	5	28	1095	0
1.341	1	6	135	2	3	28	1095	0
1.341	1	5	135	2	5	28	1095	0
1.342	1	6	135	3	3	28	2292	0
1.343	1	6	135	4	3	28	2292	0
1.344	1	6	135	5	3	28	2292	0
1.345	1	4	135	6	4	28	749	0
