% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
1.13	1	3	114	1	2	28	2196	0	0	0
1.131	1	4	114	2	4	28	2196	0	0	0
1.132	1	3	114	3	2	28	2196	0	0	0
1.133	1	1	114	4	1	28	2196	0	0	0
1.134	1	4	114	5	4	28	2196	0	0	0
1.135	1	3	114	6	2	28	2196	0	0	0
1.136	1	4	114	7	4	28	2196	0	0	0
1.137	1	4	114	8	4	28	2196	0	0	0
1.138	1	4	114	9	4	28	2196	0	0	0
1.139	1	4	114	10	4	28	2196	0	0	0
1.14	1	4	115	1	4	28	2196	0	0	0
1.141	1	4	115	2	4	28	2196	0	0	0
1.143	1	2	115	4	6	28	2196	0	0	0
1.144	1	1	115	5	1	28	2196	0	0	0
1.145	1	3	115	6	2	28	2196	0	0	0
1.146	1	3	115	7	2	28	2196	0	0	0
1.147	1	3	115	8	2	28	2196	0	0	0
1.148	1	3	115	9	2	28	2196	0	0	0
1.149	1	2	115	10	6	28	2196	0	0	0
1.15	1	3	116	1	2	28	2196	0	0	0
1.151	1	4	116	2	4	28	2196	0	0	0
1.152	1	3	116	3	2	28	2196	0	0	0
1.153	1	1	116	4	1	28	2196	0	0	0
1.154	1	4	116	5	4	28	2196	0	0	0
1.155	1	2	116	6	6	28	2196	0	0	0
1.156	1	3	116	7	2	28	2196	0	0	0
1.157	1	4	116	8	4	28	2196	0	0	0
1.158	1	3	116	9	2	28	2196	0	0	0
1.159	1	4	116	10	4	28	2196	0	0	0
1.16	1	3	117	1	2	28	2196	0	0	0
1.161	1	4	117	2	4	28	2196	0	0	0
1.162	1	3	117	3	2	28	2196	0	0	0
1.163	1	1	117	4	1	28	2196	0	0	0
1.164	1	4	117	5	4	28	2196	0	0	0
1.165	1	3	117	6	2	28	2196	0	0	0
1.167	1	4	117	8	4	28	2196	0	0	0
1.168	1	4	117	9	4	28	2196	0	0	0
1.171	1	4	118	2	4	28	2196	0	0	0
1.173	1	2	118	4	6	28	2196	0	0	0
1.174	1	1	118	5	1	28	2196	0	0	0
1.175	1	3	118	6	2	28	2196	0	0	0
1.176	1	3	118	7	2	28	2196	0	0	0
1.177	1	2	118	8	6	28	2196	0	0	0
1.178	1	3	118	9	2	28	2196	0	0	0
1.179	1	4	118	10	4	28	2196	0	0	0
1.18	1	3	119	1	2	28	2196	0	0	0
1.181	1	3	119	2	2	28	2196	0	0	0
1.182	1	4	119	3	4	28	2196	0	0	0
1.183	1	1	119	4	1	28	2196	0	0	0
1.184	1	3	119	5	2	28	2196	0	0	0
1.185	1	4	119	6	4	28	2196	0	0	0
1.186	1	2	119	7	6	28	2196	0	0	0
1.187	1	4	119	8	4	28	2196	0	0	0
1.188	1	3	119	9	2	28	2196	0	0	0
1.189	1	4	119	10	4	28	2196	0	0	0
1.19	1	4	120	1	4	28	2196	0	0	0
1.191	1	4	120	2	4	28	2196	0	0	0
1.192	1	3	120	3	2	28	2196	0	0	0
1.193	1	1	120	4	1	28	2196	0	0	0
1.194	1	3	120	5	2	28	2196	0	0	0
1.195	1	3	120	6	2	28	2196	0	0	0
1.196	1	4	120	7	4	28	2196	0	0	0
1.197	1	3	120	8	2	28	2196	0	0	0
1.198	1	4	120	9	4	28	2196	0	0	0
1.2	1	2	121	1	6	28	2196	0	0	0
1.201	1	3	121	2	2	28	2196	0	0	0
1.202	1	3	121	3	2	28	2196	0	0	0
1.203	1	1	121	4	1	28	2196	0	0	0
1.204	1	3	121	5	2	28	2196	0	0	0
1.205	1	2	121	6	6	28	2196	0	0	0
1.206	1	3	121	7	2	28	2196	0	0	0
1.207	1	4	121	8	4	28	2196	0	0	0
1.208	1	4	121	9	4	28	2196	0	0	0
1.209	1	3	121	10	2	28	2196	0	0	0
1.211	1	4	122	2	4	28	2196	0	0	0
1.212	1	3	122	3	2	28	2196	0	0	0
1.213	1	1	122	4	1	28	2196	0	0	0
1.214	1	4	122	5	4	28	2196	0	0	0
1.215	1	4	122	6	4	28	2196	0	0	0
1.216	1	4	122	7	4	28	2196	0	0	0
1.217	1	3	122	8	2	28	2196	0	0	0
1.218	1	3	122	9	2	28	2196	0	0	0
1.219	1	3	122	10	2	28	2196	0	0	0
1.22	1	2	123	1	6	28	2196	0	0	0
1.221	1	4	123	2	4	28	2196	0	0	0
1.222	1	4	123	3	4	28	2196	0	0	0
1.223	1	1	123	4	1	28	2196	0	0	0
1.224	1	4	123	5	4	28	2196	0	0	0
1.225	1	3	123	6	2	28	2196	0	0	0
1.226	1	4	123	7	4	28	2196	0	0	0
1.227	1	2	123	8	6	28	2196	0	0	0
1.228	1	3	123	9	2	28	2196	0	0	0
1.229	1	4	123	10	4	28	2196	0	0	0
1.23	1	3	124	1	2	28	2196	0	0	0
1.231	1	4	124	2	4	28	2196	0	0	0
1.232	1	3	124	3	2	28	2196	0	0	0
1.233	1	1	124	4	1	28	2196	0	0	0
1.234	1	4	124	5	4	28	2196	0	0	0
1.235	1	3	124	6	2	28	2196	0	0	0
1.236	1	2	124	7	6	28	2196	0	0	0
1.237	1	4	124	8	4	28	2196	0	0	0
1.238	1	3	124	9	2	28	2196	0	0	0
1.239	1	4	124	10	4	28	2196	0	0	0
1.24	1	4	125	1	4	28	2196	0	0	0
1.242	1	3	125	3	2	28	2196	0	0	0
1.243	1	1	125	4	1	28	2196	0	0	0
1.244	1	3	125	5	2	28	2196	0	0	0
1.245	1	4	125	6	4	28	2196	0	0	0
1.246	1	3	125	7	2	28	2196	0	0	0
1.247	1	2	125	8	6	28	2196	0	0	0
1.248	1	3	125	9	2	28	2196	0	0	0
1.249	1	3	125	10	2	28	2196	0	0	0
1.25	1	4	126	1	4	28	2196	0	0	0
1.251	1	3	126	2	2	28	2196	0	0	0
1.252	1	3	126	3	2	28	2196	0	0	0
1.253	1	1	126	4	1	28	2196	0	0	0
1.254	1	3	126	5	2	28	2196	0	0	0
1.255	1	4	126	6	4	28	2196	0	0	0
1.259	1	4	126	10	4	28	2196	0	0	0
1.26	1	4	127	1	4	28	2196	0	0	0
1.261	1	4	127	2	4	28	2196	0	0	0
1.262	1	2	127	3	6	28	2196	0	0	0
1.263	1	1	127	4	1	28	2196	0	0	0
1.264	1	3	127	5	2	28	2196	0	0	0
1.265	1	4	127	6	4	28	2196	0	0	0
1.266	1	3	127	7	2	28	2196	0	0	0
1.267	1	4	127	8	4	28	2196	0	0	0
1.268	1	3	127	9	2	28	2196	0	0	0
1.269	1	2	127	10	6	28	2196	0	0	0
1.27	1	3	128	1	2	28	2196	0	0	0
1.271	1	4	128	2	4	28	2196	0	0	0
1.272	1	4	128	3	4	28	2196	0	0	0
1.273	1	1	128	4	1	28	2196	0	0	0
1.274	1	3	128	5	2	28	2196	0	0	0
1.275	1	4	128	6	4	28	2196	0	0	0
1.276	1	2	128	7	6	28	2196	0	0	0
1.277	1	3	128	8	2	28	2196	0	0	0
1.278	1	4	128	9	4	28	2196	0	0	0
1.279	1	3	128	10	2	28	2196	0	0	0
1.28	1	4	129	1	4	28	2196	0	0	0
1.281	1	3	129	2	2	28	2196	0	0	0
1.282	1	3	129	3	2	28	2196	0	0	0
1.283	1	1	129	4	1	28	2196	0	0	0
1.284	1	4	129	5	4	28	2196	0	0	0
1.285	1	3	129	6	2	28	2196	0	0	0
1.287	1	2	129	8	6	28	2196	0	0	0
1.288	1	4	129	9	4	28	2196	0	0	0
1.289	1	4	129	10	4	28	2196	0	0	0
1.29	1	3	130	1	2	28	2196	0	0	0
1.292	1	4	130	3	4	28	2196	0	0	0
1.293	1	1	130	4	1	28	2196	0	0	0
1.294	1	3	130	5	2	28	2196	0	0	0
1.295	1	4	130	6	4	28	2196	0	0	0
1.296	1	3	130	7	2	28	2196	0	0	0
1.297	1	3	130	8	2	28	2196	0	0	0
1.298	1	4	130	9	4	28	2196	0	0	0
1.299	1	2	130	10	6	28	2196	0	0	0
1.3	1	4	131	1	4	28	2196	0	0	0
1.301	1	3	131	2	2	28	2196	0	0	0
1.302	1	3	131	3	2	28	2196	0	0	0
1.303	1	1	131	4	1	28	2196	0	0	0
1.304	1	4	131	5	4	28	2196	0	0	0
1.305	1	3	131	6	2	28	2196	0	0	0
1.306	1	2	131	7	6	28	2196	0	0	0
1.307	1	4	131	8	4	28	2196	0	0	0
1.308	1	3	131	9	2	28	2196	0	0	0
1.309	1	3	131	10	2	28	2196	0	0	0
1.31	1	4	132	1	4	28	2196	0	0	0
1.311	1	4	132	2	4	28	2196	0	0	0
1.312	1	3	132	3	2	28	2196	0	0	0
1.313	1	1	132	4	1	28	2196	0	0	0
1.314	1	4	132	5	4	28	2196	0	0	0
1.315	1	3	132	6	2	28	2196	0	0	0
1.316	1	4	132	7	4	28	2196	0	0	0
1.318	1	4	132	9	4	28	2196	0	0	0
1.319	1	4	132	10	4	28	2196	0	0	0
1.32	1	4	133	1	4	28	2196	0	0	0
1.321	1	4	133	2	4	28	2196	0	0	0
1.322	1	2	133	3	6	28	2196	0	0	0
1.323	1	1	133	4	1	28	2196	0	0	0
1.324	1	3	133	5	2	28	2196	0	0	0
1.325	1	3	133	6	2	28	2196	0	0	0
1.326	1	3	133	7	2	28	2196	0	0	0
1.327	1	3	133	8	2	28	2196	0	0	0
1.328	1	4	133	9	4	28	2196	0	0	0
1.329	1	2	133	10	6	28	2196	0	0	0
1.33	1	3	134	1	2	28	2196	0	0	0
1.331	1	3	134	2	2	28	2196	0	0	0
1.332	1	4	134	3	4	28	2196	0	0	0
1.333	1	1	134	4	1	28	2196	0	0	0
1.334	1	4	134	5	4	28	2196	0	0	0
1.335	1	3	134	6	2	28	2196	0	0	0
1.336	1	3	134	7	2	28	2196	0	0	0
1.337	1	4	134	8	4	28	2196	0	0	0
1.338	1	2	134	9	6	28	2196	0	0	0
1.339	1	4	134	10	4	28	2196	0	0	0
1.34	1	3	135	1	2	28	2196	0	0	0
1.341	1	4	135	2	4	28	2196	0	0	0
1.342	1	3	135	3	2	28	2196	0	0	0
1.343	1	1	135	4	1	28	2196	0	0	0
1.344	1	4	135	5	4	28	2196	0	0	0
1.345	1	3	135	6	2	28	2196	0	0	0
1.346	1	2	135	7	6	28	2196	0	0	0
1.347	1	4	135	8	4	28	2196	0	0	0
1.348	1	3	135	9	2	28	2196	0	0	0
1.349	1	4	135	10	4	28	2196	0	0	0
1.352	1	3	136	3	2	28	2196	0	0	0
1.353	1	1	136	4	1	28	2196	0	0	0
1.354	1	3	136	5	2	28	2196	0	0	0
1.355	1	4	136	6	4	28	2196	0	0	0
1.356	1	4	136	7	4	28	2196	0	0	0
1.357	1	3	136	8	2	28	2196	0	0	0
1.358	1	4	136	9	4	28	2196	0	0	0
1.359	1	2	136	10	6	28	2196	0	0	0
1.36	1	3	137	1	2	28	2196	0	0	0
1.362	1	4	137	3	4	28	2196	0	0	0
1.363	1	1	137	4	1	28	2196	0	0	0
1.364	1	3	137	5	2	28	2196	0	0	0
1.365	1	4	137	6	4	28	2196	0	0	0
1.366	1	3	137	7	2	28	2196	0	0	0
1.367	1	2	137	8	6	28	2196	0	0	0
1.368	1	3	137	9	2	28	2196	0	0	0
1.369	1	4	137	10	4	28	2196	0	0	0
1.37	1	3	138	1	2	28	2196	0	0	0
1.371	1	3	138	2	2	28	2196	0	0	0
1.372	1	4	138	3	4	28	2196	0	0	0
1.373	1	1	138	4	1	28	2196	0	0	0
1.374	1	3	138	5	2	28	2196	0	0	0
1.376	1	4	138	7	4	28	2196	0	0	0
1.377	1	4	138	8	4	28	2196	0	0	0
1.378	1	4	138	9	4	28	2196	0	0	0
1.379	1	3	138	10	2	28	2196	0	0	0
1.38	1	4	139	1	4	28	2196	0	0	0
1.381	1	4	139	2	4	28	2196	0	0	0
1.382	1	4	139	3	4	28	2196	0	0	0
1.383	1	2	139	4	6	28	2196	0	0	0
1.384	1	1	139	5	1	28	2196	0	0	0
1.385	1	3	139	6	2	28	2196	0	0	0
1.386	1	3	139	7	2	28	2196	0	0	0
1.387	1	3	139	8	2	28	2196	0	0	0
1.388	1	4	139	9	4	28	2196	0	0	0
1.389	1	3	139	10	2	28	2196	0	0	0
1.39	1	2	140	1	6	28	2196	0	0	0
1.391	1	4	140	2	4	28	2196	0	0	0
1.392	1	3	140	3	2	28	2196	0	0	0
1.393	1	1	140	4	1	28	2196	0	0	0
1.394	1	4	140	5	4	28	2196	0	0	0
1.395	1	3	140	6	2	28	2196	0	0	0
1.396	1	4	140	7	4	28	2196	0	0	0
1.397	1	2	140	8	6	28	2196	0	0	0
1.398	1	3	140	9	2	28	2196	0	0	0
1.399	1	4	140	10	4	28	2196	0	0	0
1.4	1	3	141	1	2	28	2196	0	0	0
1.401	1	4	141	2	4	28	2196	0	0	0
1.402	1	3	141	3	2	28	2196	0	0	0
1.403	1	1	141	4	1	28	2196	0	0	0
1.404	1	4	141	5	4	28	2196	0	0	0
1.405	1	3	141	6	2	28	2196	0	0	0
1.406	1	2	141	7	6	28	2196	0	0	0
1.407	1	4	141	8	4	28	2196	0	0	0
1.408	1	3	141	9	2	28	2196	0	0	0
1.41	1	4	142	1	4	28	2196	0	0	0
1.412	1	3	142	3	2	28	2196	0	0	0
1.413	1	1	142	4	1	28	2196	0	0	0
1.414	1	4	142	5	4	28	2196	0	0	0
1.415	1	3	142	6	2	28	2196	0	0	0
1.416	1	3	142	7	2	28	2196	0	0	0
1.418	1	2	142	9	6	28	2196	0	0	0
1.419	1	3	142	10	2	28	2196	0	0	0
1.42	1	3	143	1	2	28	2196	0	0	0
1.421	1	3	143	2	2	28	2196	0	0	0
1.422	1	4	143	3	4	28	2196	0	0	0
1.423	1	1	143	4	1	28	2196	0	0	0
1.424	1	4	143	5	4	28	2196	0	0	0
1.425	1	4	143	6	4	28	2196	0	0	0
1.426	1	2	143	7	6	28	2196	0	0	0
1.427	1	4	143	8	4	28	2196	0	0	0
1.428	1	4	143	9	4	28	2196	0	0	0
1.429	1	3	143	10	2	28	2196	0	0	0
1.43	1	3	144	1	2	28	2196	0	0	0
1.431	1	4	144	2	4	28	2196	0	0	0
1.432	1	4	144	3	4	28	2196	0	0	0
1.433	1	1	144	4	1	28	2196	0	0	0
1.434	1	3	144	5	2	28	2196	0	0	0
1.435	1	4	144	6	4	28	2196	0	0	0
1.436	1	2	144	7	6	28	2196	0	0	0
1.437	1	3	144	8	2	28	2196	0	0	0
1.438	1	3	144	9	2	28	2196	0	0	0
1.439	1	4	144	10	4	28	2196	0	0	0
1.44	1	4	145	1	4	28	2196	0	0	0
1.441	1	3	145	2	2	28	2196	0	0	0
1.442	1	4	145	3	4	28	2196	0	0	0
1.443	1	1	145	4	1	28	2196	0	0	0
1.444	1	3	145	5	2	28	2196	0	0	0
1.445	1	4	145	6	4	28	2196	0	0	0
1.446	1	4	145	7	4	28	2196	0	0	0
1.447	1	4	145	8	4	28	2196	0	0	0
1.448	1	4	145	9	4	28	2196	0	0	0
1.452	1	2	146	3	6	28	2196	0	0	0
1.453	1	1	146	4	1	28	2196	0	0	0
1.454	1	3	146	5	2	28	2196	0	0	0
1.455	1	3	146	6	2	28	2196	0	0	0
1.456	1	3	146	7	2	28	2196	0	0	0
1.457	1	3	146	8	2	28	2196	0	0	0
1.458	1	4	146	9	4	28	2196	0	0	0
1.459	1	2	146	10	6	28	2196	0	0	0
1.46	1	3	147	1	2	28	2196	0	0	0
1.461	1	4	147	2	4	28	2196	0	0	0
1.462	1	3	147	3	2	28	2196	0	0	0
1.463	1	1	147	4	1	28	2196	0	0	0
1.464	1	4	147	5	4	28	2196	0	0	0
1.465	1	3	147	6	2	28	2196	0	0	0
1.466	1	4	147	7	4	28	2196	0	0	0
1.467	1	2	147	8	6	28	2196	0	0	0
1.468	1	3	147	9	2	28	2196	0	0	0
1.469	1	3	147	10	2	28	2196	0	0	0
1.47	1	3	148	1	2	28	2196	0	0	0
1.472	1	3	148	3	2	28	2196	0	0	0
1.473	1	1	148	4	1	28	2196	0	0	0
1.474	1	4	148	5	4	28	2196	0	0	0
1.475	1	3	148	6	2	28	2196	0	0	0
1.476	1	2	148	7	6	28	2196	0	0	0
1.477	1	3	148	8	2	28	2196	0	0	0
1.478	1	4	148	9	4	28	2196	0	0	0
1.479	1	4	148	10	4	28	2196	0	0	0
1.48	1	4	149	1	4	28	2196	0	0	0
1.481	1	3	149	2	2	28	2196	0	0	0
1.482	1	3	149	3	2	28	2196	0	0	0
1.483	1	1	149	4	1	28	2196	0	0	0
1.484	1	4	149	5	4	28	2196	0	0	0
1.485	1	4	149	6	4	28	2196	0	0	0
1.486	1	2	149	7	6	28	2196	0	0	0
1.487	1	4	149	8	4	28	2196	0	0	0
1.488	1	3	149	9	2	28	2196	0	0	0
1.489	1	3	149	10	2	28	2196	0	0	0
1.49	1	4	150	1	4	28	2196	0	0	0
1.491	1	4	150	2	4	28	2196	0	0	0
1.492	1	4	150	3	4	28	2196	0	0	0
1.493	1	1	150	4	1	28	2196	0	0	0
1.494	1	3	150	5	2	28	2196	0	0	0
1.495	1	4	150	6	4	28	2196	0	0	0
1.496	1	4	150	7	4	28	2196	0	0	0
1.497	1	3	150	8	2	28	2196	0	0	0
1.498	1	4	150	9	4	28	2196	0	0	0
1.499	1	2	150	10	6	28	2196	0	0	0
1.5	1	3	151	1	2	28	2196	0	0	0
1.501	1	3	151	2	2	28	2196	0	0	0
1.502	1	4	151	3	4	28	2196	0	0	0
1.503	1	1	151	4	1	28	2196	0	0	0
1.504	1	3	151	5	2	28	2196	0	0	0
1.505	1	4	151	6	4	28	2196	0	0	0
1.506	1	2	151	7	6	28	2196	0	0	0
1.507	1	3	151	8	2	28	2196	0	0	0
1.508	1	4	151	9	4	28	2196	0	0	0
1.509	1	3	151	10	2	28	2196	0	0	0
1.51	1	4	152	1	4	28	2196	0	0	0
1.511	1	3	152	2	2	28	2196	0	0	0
1.512	1	4	152	3	4	28	2196	0	0	0
1.513	1	1	152	4	1	28	2196	0	0	0
1.514	1	3	152	5	2	28	2196	0	0	0
1.515	1	4	152	6	4	28	2196	0	0	0
1.516	1	4	152	7	4	28	2196	0	0	0
1.518	1	4	152	9	4	28	2196	0	0	0
1.519	1	4	152	10	4	28	2196	0	0	0
1.522	1	4	153	3	4	28	2196	0	0	0
1.523	1	2	153	4	6	28	2196	0	0	0
1.524	1	1	153	5	1	28	2196	0	0	0
1.525	1	3	153	6	2	28	2196	0	0	0
1.526	1	3	153	7	2	28	2196	0	0	0
1.527	1	3	153	8	2	28	2196	0	0	0
1.528	1	2	153	9	6	28	2196	0	0	0
1.529	1	3	153	10	2	28	2196	0	0	0
1.53	1	3	154	1	2	28	2196	0	0	0
1.531	1	4	154	2	4	28	2196	0	0	0
1.532	1	3	154	3	2	28	2196	0	0	0
1.533	1	1	154	4	1	28	2196	0	0	0
1.534	1	4	154	5	4	28	2196	0	0	0
1.535	1	3	154	6	2	28	2196	0	0	0
1.536	1	2	154	7	6	28	2196	0	0	0
1.537	1	4	154	8	4	28	2196	0	0	0
1.538	1	3	154	9	2	28	2196	0	0	0
1.54	1	4	155	1	4	28	2196	0	0	0
1.541	1	4	155	2	4	28	2196	0	0	0
1.542	1	3	155	3	2	28	2196	0	0	0
1.543	1	1	155	4	1	28	2196	0	0	0
1.544	1	3	155	5	2	28	2196	0	0	0
1.545	1	4	155	6	4	28	2196	0	0	0
1.546	1	3	155	7	2	28	2196	0	0	0
1.547	1	4	155	8	4	28	2196	0	0	0
1.548	1	2	155	9	6	28	2196	0	0	0
1.549	1	3	155	10	2	28	2196	0	0	0
1.55	1	4	156	1	4	28	2196	0	0	0
1.551	1	3	156	2	2	28	2196	0	0	0
1.552	1	3	156	3	2	28	2196	0	0	0
1.553	1	1	156	4	1	28	2196	0	0	0
1.554	1	3	156	5	2	28	2196	0	0	0
1.555	1	3	156	6	2	28	2196	0	0	0
1.556	1	2	156	7	6	28	2196	0	0	0
1.557	1	4	156	8	4	28	2196	0	0	0
1.558	1	4	156	9	4	28	2196	0	0	0
1.559	1	4	156	10	4	28	2196	0	0	0
1.56	1	4	157	1	4	28	2196	0	0	0
1.561	1	3	157	2	2	28	2196	0	0	0
1.562	1	4	157	3	4	28	2196	0	0	0
1.563	1	1	157	4	1	28	2196	0	0	0
1.564	1	3	157	5	2	28	2196	0	0	0
1.565	1	4	157	6	4	28	2196	0	0	0
1.566	1	3	157	7	2	28	2196	0	0	0
1.568	1	4	157	9	4	28	2196	0	0	0
1.573	1	2	158	4	6	28	2196	0	0	0
1.574	1	1	158	5	1	28	2196	0	0	0
1.575	1	3	158	6	2	28	2196	0	0	0
1.576	1	4	158	7	4	28	2196	0	0	0
1.577	1	3	158	8	2	28	2196	0	0	0
1.578	1	3	158	9	2	28	2196	0	0	0
1.579	1	4	158	10	4	28	2196	0	0	0
1.58	1	2	159	1	6	28	2196	0	0	0
1.581	1	4	159	2	4	28	2196	0	0	0
1.582	1	3	159	3	2	28	2196	0	0	0
1.583	1	1	159	4	1	28	2196	0	0	0
1.584	1	3	159	5	2	28	2196	0	0	0
1.585	1	3	159	6	2	28	2196	0	0	0
1.586	1	3	159	7	2	28	2196	0	0	0
1.587	1	2	159	8	6	28	2196	0	0	0
1.588	1	4	159	9	4	28	2196	0	0	0
1.589	1	4	159	10	4	28	2196	0	0	0
1.59	1	3	160	1	2	28	2196	0	0	0
1.591	1	4	160	2	4	28	2196	0	0	0
1.592	1	3	160	3	2	28	2196	0	0	0
1.593	1	1	160	4	1	28	2196	0	0	0
1.594	1	4	160	5	4	28	2196	0	0	0
1.595	1	4	160	6	4	28	2196	0	0	0
1.596	1	2	160	7	6	28	2196	0	0	0
1.597	1	3	160	8	2	28	2196	0	0	0
1.598	1	3	160	9	2	28	2196	0	0	0
1.602	1	4	161	3	4	28	2196	0	0	0
1.603	1	1	161	4	1	28	2196	0	0	0
1.604	1	3	161	5	2	28	2196	0	0	0
1.605	1	4	161	6	4	28	2196	0	0	0
1.606	1	3	161	7	2	28	2196	0	0	0
1.607	1	3	161	8	2	28	2196	0	0	0
1.608	1	2	161	9	6	28	2196	0	0	0
1.61	1	3	162	1	2	28	2196	0	0	0
1.611	1	3	162	2	2	28	2196	0	0	0
1.612	1	4	162	3	4	28	2196	0	0	0
1.613	1	1	162	4	1	28	2196	0	0	0
